날짜,지점,강수량(mm)
2022-01-01,108,
2022-01-02,108,0.3
2022-01-03,108,0
2022-01-04,108,0
2022-01-05,108,
2022-01-06,108,
2022-01-07,108,
2022-01-08,108,0
2022-01-09,108,
2022-01-10,108,0.9
2022-01-11,108,0.2
2022-01-12,108,
2022-01-13,108,
2022-01-14,108,
2022-01-15,108,0
2022-01-16,108,0
2022-01-17,108,0.5
2022-01-18,108,
2022-01-19,108,1.7
2022-01-20,108,
2022-01-21,108,
2022-01-22,108,
2022-01-23,108,
2022-01-24,108,
2022-01-25,108,0.7
2022-01-26,108,
2022-01-27,108,
2022-01-28,108,
2022-01-29,108,
2022-01-30,108,
2022-01-31,108,1.2
2022-02-01,108,1.7
2022-02-02,108,
2022-02-03,108,
2022-02-04,108,0
2022-02-05,108,
2022-02-06,108,
2022-02-07,108,
2022-02-08,108,
2022-02-09,108,
2022-02-10,108,
2022-02-11,108,
2022-02-12,108,
2022-02-13,108,
2022-02-14,108,1.7
2022-02-15,108,0
2022-02-16,108,0
2022-02-17,108,
2022-02-18,108,
2022-02-19,108,0.1
2022-02-20,108,
2022-02-21,108,0.1
2022-02-22,108,
2022-02-23,108,
2022-02-24,108,
2022-02-25,108,
2022-02-26,108,1.1
2022-02-27,108,
2022-02-28,108,
2022-03-01,108,2.3
2022-03-02,108,
2022-03-03,108,
2022-03-04,108,
2022-03-05,108,
2022-03-06,108,
2022-03-07,108,
2022-03-08,108,
2022-03-09,108,
2022-03-10,108,
2022-03-11,108,
2022-03-12,108,2.6
2022-03-13,108,42.1
2022-03-14,108,8.7
2022-03-15,108,
2022-03-16,108,
2022-03-17,108,1.2
2022-03-18,108,0
2022-03-19,108,14.6
2022-03-20,108,0
2022-03-21,108,
2022-03-22,108,
2022-03-23,108,
2022-03-24,108,
2022-03-25,108,10.9
2022-03-26,108,19.8
2022-03-27,108,
2022-03-28,108,
2022-03-29,108,
2022-03-30,108,0.4
2022-03-31,108,
2022-04-01,108,
2022-04-02,108,
2022-04-03,108,
2022-04-04,108,
2022-04-05,108,
2022-04-06,108,
2022-04-07,108,
2022-04-08,108,
2022-04-09,108,0.5
2022-04-10,108,
2022-04-11,108,
2022-04-12,108,0.5
2022-04-13,108,1.3
2022-04-14,108,
2022-04-15,108,
2022-04-16,108,
2022-04-17,108,
2022-04-18,108,
2022-04-19,108,
2022-04-20,108,
2022-04-21,108,
2022-04-22,108,
2022-04-23,108,
2022-04-24,108,0.3
2022-04-25,108,1.3
2022-04-26,108,1
2022-04-27,108,
2022-04-28,108,0
2022-04-29,108,15.5
2022-04-30,108,
2022-05-01,108,
2022-05-02,108,
2022-05-03,108,
2022-05-04,108,
2022-05-05,108,
2022-05-06,108,
2022-05-07,108,0.5
2022-05-08,108,2
2022-05-09,108,
2022-05-10,108,0
2022-05-11,108,0
2022-05-12,108,
2022-05-13,108,
2022-05-14,108,
2022-05-15,108,
2022-05-16,108,
2022-05-17,108,
2022-05-18,108,1.5
2022-05-19,108,
2022-05-20,108,
2022-05-21,108,
2022-05-22,108,
2022-05-23,108,
2022-05-24,108,
2022-05-25,108,3.5
2022-05-26,108,0
2022-05-27,108,0
2022-05-28,108,
2022-05-29,108,
2022-05-30,108,0
2022-05-31,108,
2022-06-01,108,
2022-06-02,108,
2022-06-03,108,
2022-06-04,108,
2022-06-05,108,0
2022-06-06,108,4.3
2022-06-07,108,0
2022-06-08,108,
2022-06-09,108,2.6
2022-06-10,108,1.2
2022-06-11,108,
2022-06-12,108,
2022-06-13,108,18
2022-06-14,108,0
2022-06-15,108,18.5
2022-06-16,108,0.7
2022-06-17,108,
2022-06-18,108,0
2022-06-19,108,
2022-06-20,108,
2022-06-21,108,
2022-06-22,108,
2022-06-23,108,103
2022-06-24,108,19.1
2022-06-25,108,
2022-06-26,108,
2022-06-27,108,6.1
2022-06-28,108,6.3
2022-06-29,108,37.8
2022-06-30,108,176.2
2022-07-01,108,
2022-07-02,108,
2022-07-03,108,
2022-07-04,108,0
2022-07-05,108,0
2022-07-06,108,16.1
2022-07-07,108,0
2022-07-08,108,1.7
2022-07-09,108,0.1
2022-07-10,108,0
2022-07-11,108,9
2022-07-12,108,
2022-07-13,108,114.5
2022-07-14,108,0.9
2022-07-15,108,
2022-07-16,108,34
2022-07-17,108,0
2022-07-18,108,
2022-07-19,108,
2022-07-20,108,1.1
