동별,연령별,항목,2022 년
사직동,95~99세,한국인,22
사직동,95~99세,외국인,0
사직동,100세 이상,계,2
사직동,100세 이상,한국인,2
사직동,100세 이상,외국인,0
삼청동,계,계,2642
삼청동,계,한국인,2331
삼청동,계,외국인,311
삼청동,0~4세,계,38
삼청동,0~4세,한국인,28
삼청동,0~4세,외국인,10
삼청동,5~9세,계,78
삼청동,5~9세,한국인,57
삼청동,5~9세,외국인,21
삼청동,10~14세,계,119
삼청동,10~14세,한국인,86
삼청동,10~14세,외국인,33
삼청동,15~19세,계,105
삼청동,15~19세,한국인,86
삼청동,15~19세,외국인,19
삼청동,20~24세,계,125
삼청동,20~24세,한국인,118
삼청동,20~24세,외국인,7
삼청동,25~29세,계,171
삼청동,25~29세,한국인,161
삼청동,25~29세,외국인,10
삼청동,30~34세,계,175
삼청동,30~34세,한국인,164
삼청동,30~34세,외국인,11
삼청동,35~39세,계,167
삼청동,35~39세,한국인,131
삼청동,35~39세,외국인,36
삼청동,40~44세,계,234
삼청동,40~44세,한국인,183
삼청동,40~44세,외국인,51
삼청동,45~49세,계,187
삼청동,45~49세,한국인,150
삼청동,45~49세,외국인,37
삼청동,50~54세,계,201
삼청동,50~54세,한국인,192
삼청동,50~54세,외국인,9
삼청동,55~59세,계,187
삼청동,55~59세,한국인,171
삼청동,55~59세,외국인,16
삼청동,60~64세,계,229
삼청동,60~64세,한국인,208
삼청동,60~64세,외국인,21
삼청동,65~69세,계,197
삼청동,65~69세,한국인,183
삼청동,65~69세,외국인,14
삼청동,70~74세,계,145
삼청동,70~74세,한국인,133
삼청동,70~74세,외국인,12
삼청동,75~79세,계,105
삼청동,75~79세,한국인,103
삼청동,75~79세,외국인,2
삼청동,80~84세,계,93
삼청동,80~84세,한국인,92
삼청동,80~84세,외국인,1
삼청동,85~89세,계,59
삼청동,85~89세,한국인,58
삼청동,85~89세,외국인,1
삼청동,90~94세,계,23
삼청동,90~94세,한국인,23
삼청동,90~94세,외국인,0
삼청동,95~99세,계,2
삼청동,95~99세,한국인,2
삼청동,95~99세,외국인,0
삼청동,100세 이상,계,2
삼청동,100세 이상,한국인,2
삼청동,100세 이상,외국인,0
부암동,계,계,9536
부암동,계,한국인,9241
부암동,계,외국인,295
부암동,0~4세,계,133
부암동,0~4세,한국인,133
부암동,0~4세,외국인,0
부암동,5~9세,계,288
부암동,5~9세,한국인,288
부암동,5~9세,외국인,0
부암동,10~14세,계,383
부암동,10~14세,한국인,383
부암동,10~14세,외국인,0
부암동,15~19세,계,476
부암동,15~19세,한국인,471
부암동,15~19세,외국인,5
부암동,20~24세,계,602
부암동,20~24세,한국인,549
부암동,20~24세,외국인,53
부암동,25~29세,계,688
부암동,25~29세,한국인,615
부암동,25~29세,외국인,73
부암동,30~34세,계,648
부암동,30~34세,한국인,590
부암동,30~34세,외국인,58
부암동,35~39세,계,622
부암동,35~39세,한국인,574
부암동,35~39세,외국인,48
부암동,40~44세,계,701
부암동,40~44세,한국인,674
부암동,40~44세,외국인,27
부암동,45~49세,계,764
부암동,45~49세,한국인,759
부암동,45~49세,외국인,5
부암동,50~54세,계,893
부암동,50~54세,한국인,884
부암동,50~54세,외국인,9
부암동,55~59세,계,783
부암동,55~59세,한국인,775
부암동,55~59세,외국인,8
부암동,60~64세,계,741
부암동,60~64세,한국인,738
부암동,60~64세,외국인,3
부암동,65~69세,계,595
부암동,65~69세,한국인,591
부암동,65~69세,외국인,4
부암동,70~74세,계,375
부암동,70~74세,한국인,373
부암동,70~74세,외국인,2
부암동,75~79세,계,350
부암동,75~79세,한국인,350
부암동,75~79세,외국인,0
부암동,80~84세,계,275
부암동,80~84세,한국인,275
부암동,80~84세,외국인,0
부암동,85~89세,계,143
부암동,85~89세,한국인,143
부암동,85~89세,외국인,0
부암동,90~94세,계,59
부암동,90~94세,한국인,59
부암동,90~94세,외국인,0
부암동,95~99세,계,13
부암동,95~99세,한국인,13
부암동,95~99세,외국인,0
부암동,100세 이상,계,4
부암동,100세 이상,한국인,4
부암동,100세 이상,외국인,0
평창동,계,계,17858
평창동,계,한국인,17663
평창동,계,외국인,195
평창동,0~4세,계,428
평창동,0~4세,한국인,425
평창동,0~4세,외국인,3
평창동,5~9세,계,662
평창동,5~9세,한국인,659
